panel,verdict,confidence,notes
P01,?,部分区域可分，部分不可分，肉眼可分出主要的一次颗粒边界，过小的分不出,
P02,Y,存在部分过小的生长在一次颗粒表面的小块干扰，整体清晰可分,
P03,N,部分区域可分，较为杂乱，肉眼可分出主要的一次颗粒边界，小型的一次颗粒过多，边界不清晰，过小的分不出,
P04,Y,一次颗粒表面有小突起，可能受潮析出？,
P05,Y,肉眼可分辩，部分边缘融合,
P06,?,一次颗粒表面小突起过多，肉眼可观测一次颗粒边界,
P07,?,一次颗粒表面小突起过多，肉眼可观测一次颗粒边界,
P08,?,一次颗粒表面小突起过多，肉眼可观测一次颗粒边界,
P09,N,一次颗粒部分融合，肉眼可测量，部分一次颗粒小，部分极大（1-2um）,
P10,N,一次颗粒部分融合，肉眼可测量，部分一次颗粒小，部分极大（1-2um）,
P11,?,一次颗粒表面小突起过多，肉眼可观测一次颗粒边界,
P12,N,一次颗粒边缘不清晰，融合较严重，条状的一次颗粒较少,
P13,Y,边界清晰，可分,
P14,?,部分边界清晰，部分一次颗粒存在融合,
P15,?,一次颗粒存在融合，边界不清晰，部分颗粒表面小突起极为严重,
P16,?,边界清晰度一般，部分一次颗粒有融合现象,
P17,?,一次颗粒的呈现不一致，有的是片状边缘，有的呈片状侧边，另外表面小突起不知道是否干扰,
P18,Y,一次颗粒表面有小突起，可能受潮析出？,
